Profile,Total Cost [DKK],Total Discomfort,Objective Value,Max Deviation [kW],Avg Deviation [kW],Total Import [kWh],Total Export [kWh]
Flat Load,-10.2766332409046,4.781758255313845,-5.4948749855907515,0.5,0.4385368017346552,3.623429831929112e-10,11.994883241599108
Evening Peak,-9.475136582745343,5.467236602259929,-4.007899980485412,0.8999999999020525,0.43666099248759416,4.990659566828755e-10,11.199863819661466
Day Peak,-7.978249421031149,2.9743744305852053,-5.003874990445947,0.6000000000053796,0.33229162712412535,3.288697495852738e-11,9.044999050975367
Anti-correlated PV,-9.240799973393107,8.453599984369296,-0.7871999890238133,0.8,0.5558333319384686,0.30000000301635027,11.501999967109668
Correlated PV,-10.475941166249047,0.7068057014596079,-9.76913546478944,0.3249999999870633,0.12490196016145548,2.9493417993761155e-10,12.241764690940197
